"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1010.0","...","1012.4","2022-03-01 08:35","1007.7","2022-03-01 15:55","22.5","28.6","2022-03-01 13:26","17.1","2022-03-01 02:36","...","69","46","2022-03-01 11:59","1.1","3","5.7","2","2022-03-01 16:13","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1010.0","...","1012.0","2022-03-02 09:21","1007.9","2022-03-02 15:05","21.6","26.6","2022-03-02 14:45","18.6","2022-03-02 07:05","...","78","56","2022-03-02 14:45","1.6","0","7.8","313","2022-03-02 12:17","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1009.4","...","1012.2","2022-03-03 09:26","1006.9","2022-03-03 15:16","21.2","28.5","2022-03-03 14:06","17.4","2022-03-03 06:42","...","77","43","2022-03-03 14:06","1.0","338","8.1","313","2022-03-03 14:30","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1007.4","...","1010.1","2022-03-04 09:15","1004.9","2022-03-04 16:22","22.5","28.4","2022-03-04 14:51","18.4","2022-03-04 07:01","...","73","45","2022-03-04 14:51","0.8","95","5.8","333","2022-03-04 16:34","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1006.6","...","1008.3","2022-03-05 10:04","1005.0","2022-03-05 15:50","22.0","26.5","2022-03-05 14:00","19.0","2022-03-05 06:30","...","75","57","2022-03-05 15:36","1.1","333","5.5","340","2022-03-05 13:55","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1008.0","...","1010.0","2022-03-06 22:41","1005.6","2022-03-06 15:35","21.1","25.8","2022-03-06 12:12","18.7","2022-03-06 07:12","...","78","59","2022-03-06 12:08","1.2","321","5.4","12","2022-03-06 13:21","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1009.2","...","...","...","...","...","15.6","...","...","...","...","...","86","...","...","2.7","25","...","...","...","9.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1009.3","...","1010.9","2022-03-08 09:20","1007.0","2022-03-08 15:57","16.1","23.9","2022-03-08 14:53","9.8","2022-03-08 06:06","...","65","38","2022-03-08 14:05","1.4","2","8.6","14","2022-03-08 16:24","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1010.2","...","1012.2","2022-03-09 09:24","1008.0","2022-03-09 16:09","18.6","23.4","2022-03-09 12:46","14.7","2022-03-09 00:46","...","66","43","2022-03-09 16:37","1.5","10","8.8","341","2022-03-09 15:51","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
